"id","name"
11791,"часы- корпус- сплав цинка, крепление- резина, ручка- латунь с галваническим покрытием"
11792,"латунь с гальваническим покрытием"
11793,"шарф- 100% шерть, ремень- кожа"
11794,"блокнот- полиуретан, ручка- латунь, акриловая смола, хромирование"
11795,"папка- полиуретан, ручка- латунь"
11796,"латунь, гальваническое покрытие"
11797,"блокнот- полиуретан, ручка- латунь, хромирование"
11798,"брелок- железо, цинковый сплав, хромирование, кошелек- кожа"
11799,"папка- полиуретан, ручка- латунь, кожа"
11800,"брелок- железо, цинковый сплав, хромирование, кошелек- кожа, ручка- латунь, хромирование"
11801,"латунь, кожа"
11802,"кошелек- кожа, ручка- латунь с гальваническим покрытием"
11803,"брелок- железо, цинковый сплав, хромирование, кошелек- кожа, ручка- латунь, кожа"
11804,"кошелек- кожа, ручка- латунь, кожа"
11805,"кошелек- кожа, ручка- латунь, хромирование"
11806,"брелок- железо, цинковый сплав, хромирование, ручка- латунь, кожа"
11807,"папка- полиуретан, ручка- лутань, кожа, брелок- железо, цинковый сплав, хромирование"
11808,"кошелек- кожа, брелок- железо, цинковый сплав, хромирование"
11809,"латунь, хромирование"
11810,"блокнот- полиуретан/бумага, ручка- латунь/полиуретан"
11811,"шелк/нержавеющая сталь"
11812,"шелк/латунь"
11813,"шелк/нержавеющая cталь"
11814,"шелк, микрофибра со стразами, металл"
11815,"микрофибра со стразами, металл"
11816,"шелк, цинковый сплав, микрофибра со стразами, металл"
11817,"шелк/цинковый сплав"
11818,"нержавеющая cталь"
11819,"шелк/латунь/кожа"
11820,"клатч- натуральная кожа, ручка- латунь, лак"
11821,"латунь, лак"
11822,"папка- полиуретан, флешка- латунь, лак, ручка- латунь, лак"
11823,"шарф- 100% шерть, часы- корпус- сплав цинка, крепление- натуральняа кожа"
11824,"блокнот- полиуретан, ручка- латунь, лак, брелок- латунь"
11825,"кошелек- кожа, ручка- латунь, лак"
11826,"кошелек- натуральная кожа, брелок- латунь"
11827,"кредитница- натуральная кожа, ручка- латунь, лак"
11828,"шарф- 100% шерть, часы- корпус- сплав цинка, крепление- резина"
11829,"100% шерсть"
11830,"PU"
11831,"полиуретан, полиэстер"
11832,"корпус- сплав цинка, крепление- резина"
11833,"латунь, хромирование, лак"
11834,"корпус- нержавеющая сталь, крепление- нержавеющая сталь/резина"
11835,"железо, цинковый сплав"
11836,"натуральная кожа, полиэстер"
